Date;Open;High;Low;Close;Volume
11/16/2020;9.885;9.93;9.75;9.768;8,347
11/13/2020;9.635;9.72;9.55;9.56;6,736
11/12/2020;9.721;9.73;9.55;9.73;6,516
11/11/2020;9.569;9.775;9.569;9.775;4,654
11/10/2020;9.821;9.821;9.667;9.735;7,257
11/09/2020;9.495;9.512;9.326;9.43;8,287
11/06/2020;8.872;8.873;8.719;8.871;5,885
11/05/2020;8.835;8.89;8.697;8.719;5,538
11/04/2020;8.685;8.75;8.57;8.618;4,205
11/03/2020;8.535;8.61;8.5;8.587;3,951
11/02/2020;8.282;8.372;8.177;8.371;2,916
10/30/2020;8.233;8.233;8.04;8.2;5,809
10/29/2020;8.052;8.276;8.01;8.271;13,048
10/28/2020;8.26;8.34;8.164;8.17;6,776
10/27/2020;8.7;8.73;8.46;8.681;9,948
10/26/2020;8.832;8.832;8.62;8.7;4,876
10/23/2020;8.98;8.98;8.788;8.931;1,629
10/22/2020;8.85;8.85;8.85;8.85;1,819
10/21/2020;9.031;9.031;8.829;8.9;2,240
10/20/2020;8.99;9.085;8.95;9.085;1,785
10/19/2020;9.031;9.08;8.905;9.03;4,935
10/16/2020;8.921;8.98;8.8;8.8;6,430
10/15/2020;8.931;8.931;8.72;8.78;4,038
10/14/2020;8.788;8.932;8.788;8.932;625
10/13/2020;8.821;8.821;8.6;8.78;1,395
10/12/2020;8.85;8.85;8.83;8.83;1,403
10/09/2020;8.7;8.7;8.5;8.7;18,268
10/08/2020;8.5;8.7;8.5;8.7;5,994
10/07/2020;8.521;8.65;8.45;8.65;17,067
10/06/2020;8.55;8.75;8.5;8.7;5,057
10/05/2020;8.55;8.55;8.42;8.475;3,807
10/02/2020;8.5;8.5;8.3;8.3;6,324
10/01/2020;8.49;8.55;8.31;8.55;4,688
09/30/2020;8.48;8.49;8.42;8.49;946
09/29/2020;8.22;8.26;8.22;8.26;1,079
09/28/2020;8.45;8.45;8.26;8.37;3,081
09/25/2020;8.2;8.22;8.14;8.14;2,509
09/24/2020;8.28;8.28;8.16;8.16;6,411
09/23/2020;8.53;8.53;8.35;8.36;9,900
09/22/2020;8.466;8.65;8.35;8.35;955
09/21/2020;8.5;8.65;8.35;8.55;1,398
09/18/2020;8.95;8.95;8.94;8.95;1,329
09/17/2020;9.14;9.14;9;9.14;5,484
09/16/2020;9.6;9.65;9.5;9.5;3,818
09/15/2020;9.4;9.44;9.21;9.4;3,800
09/14/2020;9.86;9.9;9.7;9.9;8,770
09/11/2020;9.89;9.89;9.65;9.85;2,837
09/10/2020;10;10;9.9;10;2,766
09/09/2020;9.93;9.95;9.75;9.75;1,838
09/08/2020;9.75;9.75;9.55;9.55;2,214
09/04/2020;9.45;9.6;9.4;9.525;6,780
09/03/2020;9.71;9.75;9.46;9.575;4,604
09/02/2020;9.8;9.9;9.75;9.9;7,268
09/01/2020;10.14;10.15;9.95;9.95;1,731
08/31/2020;10.3;10.3;10.2;10.2;2,045
08/28/2020;10.3;10.35;10.15;10.35;2,249
08/27/2020;10.24;10.24;10;10.01;4,154
08/26/2020;10.09;10.15;9.9;9.9;5,580
08/25/2020;10.09;10.09;10.06;10.09;5,617
08/24/2020;10.05;10.09;9.85;10;4,543
08/21/2020;9.95;9.95;9.8;9.94;4,831
08/20/2020;9.86;10;9.86;10;4,863
08/19/2020;10.095;10.15;9.95;9.95;2,628
08/18/2020;10.06;10.1;9.9;9.9;5,233
08/17/2020;10.045;10.05;9.85;10.05;2,750
08/14/2020;10.14;10.15;9.95;10.15;1,923
08/13/2020;10.119;10.29;10.1;10.1;7,510
08/12/2020;10.3;10.3;10.1;10.1;1,163
